TT1,TT2,TT3,TT4,TT5,TT6,TT7,TT8,TT9,TT10,TT11,TT12,TT13_1,TT13_2,TT13_3,TT13_4,TT13_5,TT13_6,TT13_7,TT13_8,TT14_1,TT14_2,TT14_3,TT14_4,TT15,TT16,TT17,TT18
12,0.0936111111111111,8,20.2783333333333,0,0,,,0,0,0,,382,782,1162,1422,1822,2122,2462,2802,282,582,922,1162,0,0,0,
12,0.256388888888889,8,21.1736111111111,0.045785503443752,0.0566122505653192,,,0,0.125,0.00533707865168539,,202,442,842,1242,1482,1742,1962,2242,301,601,861,1161,0,0,0,
12,0.131666666666667,9,21.5736111111111,0.00128758127856821,0.000617112530469931,,,0,0.111111111111111,0.0126262626262626,,202,462,762,962,1222,1562,1962,2242,242,542,842,1222,0,0,0,
12,0.276388888888889,9,20.8878787878788,0.0510413223140496,0.0574569233413998,,,0,0,0,,261,561,901,1121,1441,1641,1941,2261,341,601,961,1201,0,0,0,
12,0.126944444444444,9,20.3469696969697,0.0080534140969163,0.0104501395115113,,,0,0,0,,341,661,901,1301,1561,1941,2141,2501,402,742,1022,1222,0,0,0,
12,0.357777777777778,9,22.3861111111111,0.083509120238243,0.0979065559390474,,,0,0.111111111111111,0.0321395775941231,,262,462,722,1042,1382,1662,1862,2222,281,681,901,1281,0,0,0,
12,0.0988888888888889,8,20.2166666666667,0,0,,,0,0,0,,302,582,982,1262,1582,1902,2282,2622,222,462,782,1162,0,0,0,
12,0.0988888888888889,8,20.3242424242424,0.000967318455054239,0.000971952235490142,,,0,0,0,,341,701,961,1241,1641,1881,2281,2541,201,481,821,1081,0,0,0,
12,0.251944444444444,9,21.9944444444444,0.040035362465269,0.0389574324592375,,,0,0.111111111111111,0.0607734806629833,,362,582,782,1082,1462,1722,1942,2322,341,661,941,1321,0,0,0,
12,0.0938888888888889,8,20.1683333333333,0,0,,,0,0,0,,302,602,962,1322,1682,2082,2482,2802,242,562,902,1302,0,0,0,
12,0.101111111111111,8,20.3606060606061,0,0,,,0,0,0,,362,722,1122,1402,1682,1982,2342,2702,321,721,1061,1301,0,0,0,
12,0.19,8,20.7216666666667,0.0265231992324035,0.0274146731727959,,,0,0.125,0.00405236907730673,,361,581,941,1321,1681,2081,2421,2621,381,681,901,1181,0,0,0,
12,0.125,8,20.2716666666667,0.00814819973535762,0.0155165231880033,,,0,0.125,0.00295608108108108,,362,622,942,1322,1682,2062,2402,2602,402,702,1002,1302,0,0,0,
12,0.128055555555556,9,20.4712121212121,0.00678012068614821,0.00396715198159241,,,0,0,0,,362,562,942,1222,1482,1682,2002,2362,282,682,1082,1382,0,0,0,
12,0.198333333333333,9,20.5944444444444,0.0273131912597788,0.0303242485552955,,,0,0,0,,322,662,902,1222,1442,1822,2042,2282,201,401,741,941,0,0,0,
12,0.101111111111111,9,20.2569444444444,0.000959890298251628,0.00218689252985282,,,0,0,0,,342,662,902,1222,1542,1762,2082,2322,402,802,1102,1422,0,0,0,
12,0.3875,10,23.5375,0.0652032808166637,0.0819409731864607,,,0.1,0.1,0.0999999999999999,,262,482,682,942,1182,1442,1722,2002,221,541,821,1181,0,0,0,
12,0.107777777777778,9,20.3409090909091,0.000481960892316166,0.000277700638711469,,,0,0,0,,341,581,861,1241,1481,1861,2261,2501,301,581,941,1141,0,0,0,
12,0.146944444444444,8,20.5227272727273,0.014871936105756,0.00897237539836818,,,0,0.125,0.00528541226215645,,241,461,821,1221,1501,1901,2301,2621,381,621,861,1061,0,0,0,
12,0.0919444444444444,8,20.2166666666667,0.000483358652119873,0.000323984078496714,,,0,0,0,,321,661,921,1321,1641,1921,2221,2461,262,482,822,1182,0,0,0,
12,0.104722222222222,8,20.6484848484848,0.000477294422473749,0.000971952235490142,,,0,0,0,,222,602,922,1142,1542,1942,2202,2562,322,602,822,1122,0,0,0,
12,0.121111111111111,9,20.3287878787879,0.00891877058177827,0.00554508668227079,,,0,0,0,,241,541,921,1121,1461,1681,2041,2441,381,601,981,1301,0,0,0,
12,0.141944444444444,9,20.7,0.0113199919142915,0.013772629296095,,,0,0,0,,381,661,921,1261,1541,1901,2201,2421,222,602,822,1062,0,0,0,
12,0.158888888888889,8,20.3393939393939,0.016571937273163,0.0252707581227437,,,0,0,0,,341,641,1041,1321,1661,1961,2161,2421,401,741,1041,1301,0,0,0,
12,0.108333333333333,9,20.2727272727273,0.00589081443934516,0.00339632289090773,,,0,0.111111111111111,0.0409356725146199,,281,501,861,1141,1421,1761,2061,2381,322,702,1042,1362,0,0,0,
12,0.101388888888889,9,20.2939393939394,0,0,,,0,0,0,,281,661,961,1281,1481,1861,2261,2501,261,621,881,1221,0,0,0,
12,0.111666666666667,9,20.3333333333333,0.00763463787055506,0.00394731622168445,,,0,0,0,,221,601,901,1161,1461,1781,2141,2481,202,482,682,1062,0,0,0,
12,0.147777777777778,9,21.1236111111111,0.00881057268722467,0.0053627078897837,,,0,0.111111111111111,0.00213675213675214,,341,581,861,1081,1381,1661,1961,2321,362,562,802,1002,0,0,0,
12,0.0922222222222222,8,20.1683333333333,0,0,,,0,0,0,,402,782,1102,1482,1862,2142,2402,2662,242,582,962,1322,0,0,0,
12,0.433611111111111,9,23.0393939393939,0.0814058275758486,0.105220772007776,,,0,0.111111111111111,0.0459224069675375,,281,481,701,981,1341,1541,1901,2161,322,522,782,1162,0,0,0,
12,0.141944444444444,9,20.6402777777778,0.0131888836552049,0.00959720183546897,,,0,0.222222222222222,0.00846023688663283,,362,602,902,1162,1502,1722,1982,2322,401,701,941,1341,0,0,0,
12,0.311388888888889,9,21.2636363636364,0.0582092438599884,0.0765052035810159,,,0,0,0,,361,681,1081,1321,1521,1721,1921,2121,222,482,782,982,0,0,0,
12,0.0958333333333333,8,20.3045454545455,0.000484764542936288,0.000647968156993428,,,0,0,0,,261,601,881,1241,1601,1841,2201,2561,341,681,881,1201,0,0,0,
12,0.242777777777778,9,21.4430555555556,0.0399637282207397,0.0664861612515041,,,0,0,0,,261,661,901,1161,1441,1701,1901,2101,301,601,801,1061,0,0,0,
12,0.1225,8,20.3181818181818,0.00587070789815004,0.0100897898731834,,,0,0,0,,241,581,941,1201,1581,1881,2141,2361,282,622,942,1162,0,0,0,
12,0.125,8,20.2727272727273,0.00591553171000138,0.00503563824863463,,,0,0,0,,282,662,942,1182,1582,1802,2202,2442,301,561,941,1281,0,0,0,
12,0.140277777777778,9,20.5125,0.00751574243347552,0.00502505917668372,,,0,0,0,,242,442,802,1202,1422,1662,2002,2342,242,442,802,1142,0,0,0,
12,0.103055555555556,8,20.2166666666667,0.000488076976711756,0.000647968156993428,,,0,0,0,,381,761,1061,1381,1761,2021,2321,2601,202,442,682,1002,0,0,0,
12,0.0983333333333333,9,20.2569444444444,0.00143983544737744,0.00145021444660434,,,0.111111111111111,0.111111111111111,0.111111111111111,,221,481,781,1001,1321,1721,1981,2261,381,621,961,1281,0,0,0,
12,0.119722222222222,8,20.2166666666667,0.00802414100541801,0.0125428121818013,,,0,0,0,,242,582,982,1302,1582,1922,2162,2362,361,741,1001,1321,0,0,0,
12,0.0975,8,20.2166666666667,0.000969461948618517,0.00145792835323521,,,0,0,0,,342,742,1122,1402,1662,1942,2182,2502,321,581,861,1201,0,0,0,
12,0.105277777777778,9,20.4986111111111,0.000474286875804594,0.000647968156993428,,,0,0,0,,282,562,842,1122,1342,1582,1862,2182,262,582,782,1162,0,0,0,
12,0.146944444444444,9,20.4569444444444,0.0126960418222554,0.0113665516192592,,,0,0,0,,341,661,941,1201,1481,1801,2061,2321,241,461,721,1061,0,0,0,
12,0.284722222222222,10,22.7138888888889,0.0465941054176348,0.057561942670246,,,0.1,0.1,0.1,,301,541,761,961,1261,1581,1781,2141,342,682,962,1202,0,0,0,
12,0.0986111111111111,8,20.5666666666667,0.000475123871580805,0.000971952235490142,,,0,0,0,,321,621,821,1221,1581,1921,2181,2441,341,641,841,1241,0,0,0,
12,0.1725,9,20.5958333333333,0.0198260165891159,0.0249236323243544,,,0,0,0,,222,422,822,1022,1362,1642,1882,2142,401,721,1121,1361,0,0,0,
12,0.106944444444444,9,20.319696969697,0,0,,,0,0,0,,362,722,942,1262,1502,1882,2222,2602,242,582,842,1242,0,0,0,
12,0.108055555555556,8,20.2393939393939,0.000485571587125416,0.000647968156993428,,,0,0,0,,342,722,982,1362,1662,1922,2282,2542,342,702,962,1342,0,0,0,
12,0.118888888888889,8,20.2924242424242,0.0096180459451979,0.00743179804551645,,,0,0.125,0.0120481927710843,,301,621,1001,1361,1621,1841,2201,2541,282,622,822,1142,0,0,0,
12,0.278611111111111,9,20.7742424242424,0.0463317911434237,0.0673609182634453,,,0,0,0,,341,681,1001,1241,1501,1701,1941,2181,261,641,1001,1261,0,0,0,
12,0.0938888888888889,8,20.1683333333333,0,0,,,0,0,0,,302,622,922,1302,1682,2082,2422,2782,282,602,982,1182,0,0,0,
12,0.114444444444444,8,20.4242424242424,0.00597305181275177,0.00431361658798481,,,0,0,0,,382,622,962,1262,1642,2002,2302,2682,341,741,1101,1321,0,0,0,
12,0.189444444444444,8,20.419696969697,0.0317546848381601,0.0391128125785166,,,0,0,0,,302,622,942,1302,1702,1922,2182,2402,222,462,682,1082,0,0,0,
